phrase,frequency
and,11896
with,4380
training,4163
com,3995
experience,3070
skills,3006
https,3000
objective,3000
education,3000
com https,3000
education training,3000
for,2000
safety,1794
set,1465
film,1462
workshops,1258
continuity,1196
portfolio,1176
managed,1164
coordinated,1161
gmail,1034
gmail com,1034
gmail com https,1034
yahoo,998
yahoo com,998
yahoo com https,998
hotmail,968
hotmail com,968
hotmail com https,968
training experience,967
color,880
design,857
through,775
coverage,774
workshops experience,774
maintained,773
rigging,771
production,753
schedule,690
lighting,679
collaborated,676
director,670
vendor,666
notes,642
sheets,638
sound,596
camera,593
degree,582
budget,565
artist,548
character,487
courses,485
delivered,485
builds,485
supervised,484
coordinated with,484
collaborated with,483
team,482
deliverables,474
from,449
collaboration,448
script,432
schedules,413
shot,405
art,403
permits,393
story,393
reports,390
into,388
mgmt,388
tracked,388
plans,388
sets,388
dressing,388
props,388
sessions,388
crew,387
certificates,387
certificates experience,387
created,387
built,386
negotiated,386
performance,386
relations,386
cue,385
post,360
across,355
budgets,353
sheets and,350
supervisor,320
clear,313
call,312
designer,311
vfx,310
gaffer,305
location,300
turnovers,299
and color,297
insurance,295
delivery,294
final,293
grip,293
language,292
visual,292
on-set,291
courses experience,291
cinematic,291
spec,291
movement,291
and continuity,291
executed,291
period,291
grading,291
editorial,291
mix,291
stems,291
boards,291
experience built,290
scripts,290
supported,290
cinematography,290
framing,290
experience managed,290
operated,290
ran,290
dmx,290
rapid,290
safety certificates,290
for coverage,290
safety certificates experience,290
background,290
logistics,290
lockups,290
safe,290
safely,289
briefings,289
safety briefings,289
coverage maintained,289
aerial,288
prop,288
on-camera,274
editing,273
work,266
leadership,261
creative,257
vision,254
safety-first,253
call sheets,252
budgeting,249
west,245
scheduling,244
lake,230
support,229
pace,229
tracking,229
prepared,228
south,221
collaborative,221
north,218
communication,216
new,214
foley,213
composer,213
strong,212
music,212
technical,206
editor,205
makeup,204
insurance permits,199
permits and,199
insurance permits and,199
east,199
stunt,199
casting,199
structure,198
clarity,198
cost,197
systems,197
cohesive,197
cost reports,196
integrated,196
rehearsals,196
room,195
edit,195
edit sound,195
tone,195
building,195
pipelines,195
compliance,195
alignment,194
locked,194
alignment education,194
and locked,194
alignment education training,194
beat,194
drafts,194
revisions,194
adr,194
experience delivered,194
on schedule,194
and director,194
post-production,194
archival,194
color and,194
to spec,194
training post-production,194
vendor mgmt,194
education training post-production,194
operating,194
intensive,194
director/dp,194
electric,194
dp and,194
training set,194
education training set,194
dec,194
rentals,194
returns,194
dressing and,194
and character,194
set dec,194
managed rentals,194
skills continuity,194
picture,194
oversaw,194
focused,194
certificate,194
temp,194
focused on,194
mood,194
cohesion,194
luts,194
looks,194
matched,194
luts and,194
with dp,194
aligned,194
assets,194
database,194
and budget,194
experience tracked,194
database and,194
palettes,194
prepped,194
stems and,194
runs,194
port,194
timing,194
sequences,194
lensing,194
prep,194
created boards,194
visual language,194
coordination,194
builds and,194
design degree,194
degree art,194
set builds,194
with set,194
scoring,194
spotting,194
spotting sessions,194
props and,194
action,194
authentic,194
emotionally,194
character through,194
stories,194
talent,194
stories with,194
translating,194
school,194
sfx,194
hygiene,194
coordinated insurance,193
coordinated insurance permits,193
coordinated insurance permits and,193
capturing,193
logs,193
maintenance,193
assessments,193
aligning,193
supervisor aligning,193
training experience managed,193
efficiently,193
relights,193
gear,193
safely and,193
and efficiently,193
efficiently education,193
rapid relights,193
relights for,193
safety and,193
safely and efficiently,193
and efficiently education,193
efficiently education training,193
rapid relights for,193
relights for coverage,193
for coverage maintained,193
safely and efficiently education,193
and efficiently education training,193
rapid relights for coverage,193
relights for coverage maintained,193
vendor relations,193
smooth,193
agreements,193
for smooth,193
training production,193
location agreements,193
education training production,193
edited,193
shaping,193
training experience built,193
sonic,193
audio,193
bespoke,193
textures,193
training audio,193
education training audio,193
paperwork,193
with a,193
set safety,193
studies,193
and coordinated,193
crafting,193
ensured,193
match,193
selection,193
and operated,193
collaborated on,193
crew leadership,193
lighting design,193
executing,193
dept,193
protocols,193
with safety,193
safety protocols,193
with camera,193
rigging safety,193
and rapid,193
planned,192
clearances,192
experience planned,192
and safety,192
songs,192
licensing,192
cue sheets,192
rigs,192
rigging and,192
and prop,192
ideal,191
our,191
line,187
fittings,186
producing,185
risk,180
integration,177
auditions,177
sourcing,175
compositing,172
management,170
stage,169
composition,168
blocking,165
key,160
budgets and,160
under,158
commercial,158
diverse,158
producers,157
pressure,157
locations,157
departments,157
moves,157
approach,157
craft,157
department,157
planning,156
productions,156
meetings,156
on set,156
and clear,156
workflows,147
show,146
etiquette,146
continuity and,146
supporting,143
even,132
teammate,131
curious,131
resilient,131
able,131
anticipate,131
issues,131
colleagues,131
uphold,131
intensifies,131
our ideal,131
ideal teammate,131
teammate is,131
is prepared,131
prepared curious,131
curious and,131
and resilient,131
resilient able,131
able to,131
to anticipate,131
anticipate issues,131
issues support,131
support colleagues,131
colleagues and,131
and uphold,131
uphold safety,131
safety even,131
even as,131
as pace,131
pace intensifies,131
our ideal teammate,131
ideal teammate is,131
teammate is prepared,131
is prepared curious,131
prepared curious and,131
curious and resilient,131
and resilient able,131
resilient able to,131
able to anticipate,131
to anticipate issues,131
anticipate issues support,131
issues support colleagues,131
support colleagues and,131
colleagues and uphold,131
and uphold safety,131
uphold safety even,131
safety even as,131
even as pace,131
as pace intensifies,131
our ideal teammate is,131
ideal teammate is prepared,131
teammate is prepared curious,131
is prepared curious and,131
prepared curious and resilient,131
curious and resilient able,131
and resilient able to,131
resilient able to anticipate,131
able to anticipate issues,131
to anticipate issues support,131
anticipate issues support colleagues,131
issues support colleagues and,131
support colleagues and uphold,131
colleagues and uphold safety,131
and uphold safety even,131
uphold safety even as,131
safety even as pace,131
even as pace intensifies,131
may,125
short,121
early,121
the,121
credits,121
respectful,120
environment,120
include,120
clear communication,120
skills budget,118
storyboard,117
storyboard artist,117
foley artist,116
manager,114
screenwriter,112
vfx artist,112
art director,112
script supervisor,112
music supervisor,111
core,110
expertise,110
maintain,110
ability,109
to a,109
portfolio or,109
ability to,109
operator,107
camera operator,107
location manager,107
sound designer,107
costume,107
costume designer,107
makeup artist,107
producer,106
colorist,103
actor,103
projects,102
local,102
coordinator,102
stunt coordinator,102
casting director,102
and deliverables,101
drone,101
pilot,101
drone pilot,101
rhythm,101
cuts,101
clean,101
metadata,101
avid/premiere/resolve,101
conform,101
clarity and,101
turnovers to,101
to sound,101
sound vfx,101
vfx and,101
color with,101
with clean,101
clean metadata,101
turnovers to sound,101
to sound vfx,101
sound vfx and,101
vfx and color,101
and color with,101
color with clean,101
with clean metadata,101
turnovers to sound vfx,101
to sound vfx and,101
sound vfx and color,101
vfx and color with,101
and color with clean,101
color with clean metadata,101
acting,101
and vendor,100
dynamic,100
and delivery,100
proactive,100
seamless,100
cinematographer,100
